Pos Exato Numerico
1.608 5.528e-57 2.02117e-51
1.612 1.52431e-57 6.27531e-52
1.616 4.1765e-58 1.93673e-52
1.62 1.13706e-58 5.94162e-53
1.624 3.07598e-59 1.81193e-53
1.628 8.2683e-60 5.49261e-54
1.632 2.20841e-60 1.65506e-54
1.636 5.86106e-61 4.95734e-55
1.64 1.54562e-61 1.47598e-55
1.644 4.05007e-62 4.36826e-56
1.648 1.05452e-62 1.28509e-56
1.652 2.7282e-63 3.75796e-57
1.656 7.01342e-64 1.09236e-57
1.66 1.7915e-64 3.15627e-58
1.664 4.54708e-65 9.06513e-59
1.668 1.14678e-65 2.58801e-59
1.672 2.87384e-66 7.34429e-60
1.676 7.15606e-67 2.07168e-60
1.68 1.77059e-67 5.8088e-61
1.684 4.35304e-68 1.61897e-61
1.688 1.06341e-68 4.48517e-62
1.692 2.5813e-69 1.23511e-62
1.696 6.22598e-70 3.38081e-63
1.7 1.49214e-70 9.19857e-64
1.704 3.55339e-71 2.48774e-64
1.708 8.40828e-72 6.68766e-65
1.712 1.97699e-72 1.78701e-65
1.716 4.61882e-73 4.74637e-66
1.72 1.07224e-73 1.25308e-66
1.724 2.47333e-74 3.28835e-67
1.728 5.66898e-75 8.57741e-68
1.732 1.2911e-75 2.2239e-68
1.736 2.92176e-76 5.73129e-69
1.74 6.56996e-77 1.46814e-69
1.744 1.46795e-77 3.73819e-70
1.748 3.25906e-78 9.46088e-71
1.752 7.18961e-79 2.38e-71
1.756 1.57597e-79 5.95113e-72
1.76 3.43261e-80 1.47909e-72
1.764 7.42902e-81 3.65397e-73
1.768 1.59761e-81 8.97239e-74
1.772 3.41382e-82 2.1899e-74
1.776 7.24841e-83 5.31264e-75
1.78 1.52924e-83 1.28106e-75
1.784 3.20584e-84 3.07041e-76
1.788 6.67788e-85 7.31468e-77
1.792 1.38219e-85 1.73206e-77
1.796 2.84267e-86 4.07659e-78
1.8 5.80923e-87 9.53673e-79
1.804 1.17962e-87 2.21753e-79
1.808 2.3801e-88 5.12512e-80
1.812 4.7718e-89 1.17735e-80
1.816 9.50606e-90 2.68825e-81
1.82 1.8817e-90 6.10098e-82
1.824 3.7011e-91 1.37624e-82
1.828 7.23342e-92 3.08566e-83
1.832 1.40472e-92 6.87647e-84
1.836 2.71059e-93 1.52316e-84
1.84 5.19723e-94 3.35339e-85
1.844 9.90173e-95 7.33809e-86
1.848 1.87448e-95 1.59603e-86
1.852 3.52601e-96 3.45032e-87
1.856 6.59049e-97 7.41369e-88
1.86 1.22401e-97 1.58332e-88
1.864 2.25882e-98 3.36091e-89
1.868 4.14199e-99 7.09091e-90
1.872 7.54692e-100 1.48697e-90
1.876 1.36635e-100 3.09926e-91
1.88 2.45802e-101 6.42048e-92
1.884 4.3938e-102 1.322e-92
1.888 7.80418e-103 2.70549e-93
1.892 1.37735e-103 5.50318e-94
1.896 2.41544e-104 1.11259e-94
1.9 4.20898e-105 2.23565e-95
1.904 7.2877e-106 4.46503e-96
1.908 1.25382e-106 8.86328e-97
1.912 2.14344e-107 1.74869e-97
1.916 3.64099e-108 3.42911e-98
1.92 6.14552e-109 6.68338e-99
1.924 1.03069e-109 1.29467e-99
1.928 1.71764e-110 2.49269e-100
1.932 2.84425e-111 4.77005e-101
1.936 4.67986e-112 9.07242e-102
1.94 7.65122e-113 1.71502e-102
1.944 1.24297e-113 3.22223e-103
1.948 2.00641e-114 6.01714e-104
1.952 3.2182e-115 1.11677e-104
1.956 5.12905e-116 2.06008e-105
1.96 8.12255e-117 3.77696e-106
1.964 1.27814e-117 6.88246e-107
1.968 1.99847e-118 1.24648e-107
1.972 3.10491e-119 2.24371e-108
1.976 4.79326e-120 4.01409e-109
1.98 7.35266e-121 7.1375e-110
1.984 1.1207e-121 1.26137e-110
1.988 1.69733e-122 2.21554e-111
1.992 2.55432e-123 3.86769e-112
1.996 3.81957e-124 6.71059e-113
2 5.67526e-125 1.15719e-113
